Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR9304156,2019-12-05 22:30:21,2019-06-14 15:14:16,22117329,2255967558,22117329,102,624,,https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/009086/SRR9304156,SRX6072824,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975154,SAMN12059812,simple,10090,Mus musculus,GSM3891511,,,,,,,no,,,,,GEO,SRA899561,,public,60329525C60227F9E45F47CCA4093F31,CF3DD70F09BB85FCD0629C98245A05ED
SRR9304157,2019-12-05 22:30:22,2019-06-14 15:14:21,22660194,2311339788,22660194,102,640,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/009086/SRR9304157,SRX6072824,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975154,SAMN12059812,simple,10090,Mus musculus,GSM3891511,,,,,,,no,,,,,GEO,SRA899561,,public,B3DA407B321D93B17D9A02CA79EE78CF,3D0ECF93DA1DE378D5985FA3F9AD5352
SRR9304158,2019-12-05 22:30:22,2019-06-14 15:12:17,17059570,1740076140,17059570,102,479,,https://sra-download.ncbi.nlm.nih.gov/traces/sra28/SRR/009086/SRR9304158,SRX6072825,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975155,SAMN12059811,simple,10090,Mus musculus,GSM3891512,,,,,,,no,,,,,GEO,SRA899561,,public,41D0216D506A6848519DCF624D5A7F87,1F5B337AFF337724EC762BD90A8353A2
SRR9304159,2019-12-05 22:30:22,2019-06-14 15:12:38,17328973,1767555246,17328973,102,487,,https://sra-download.ncbi.nlm.nih.gov/traces/sra24/SRR/009086/SRR9304159,SRX6072825,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975155,SAMN12059811,simple,10090,Mus musculus,GSM3891512,,,,,,,no,,,,,GEO,SRA899561,,public,05261A10F6CA2343979122420E7DD64C,AEC2B36C231A5A32ED9339BC3F2F938C
SRR9304160,2019-12-05 22:30:22,2019-06-14 15:10:42,12696468,1295039736,12696468,102,355,,https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/009086/SRR9304160,SRX6072826,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975156,SAMN12059810,simple,10090,Mus musculus,GSM3891513,,,,,,,no,,,,,GEO,SRA899561,,public,9E0892A316EEF425AC66209BC813EF66,9424AA5A07E78DF4F73BCA804BF4BCFB
SRR9304161,2019-12-05 22:30:22,2019-06-14 15:11:59,12908375,1316654250,12908375,102,362,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9304161/SRR9304161.1,SRX6072826,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975156,SAMN12059810,simple,10090,Mus musculus,GSM3891513,,,,,,,no,,,,,GEO,SRA899561,,public,2671AC257BF34F0750FFEE54A68BD16F,F3934CC82E5F6F7220F169AAD5355798
SRR9304162,2019-12-05 22:30:22,2019-06-14 15:12:07,15812752,1612900704,15812752,102,443,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9304162/SRR9304162.1,SRX6072827,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975157,SAMN12059809,simple,10090,Mus musculus,GSM3891514,,,,,,,no,,,,,GEO,SRA899561,,public,9D17AAFECD16466E2A7B5E94125E5A04,2A802C02B7C14E1755CB093F5AB17618
SRR9304163,2019-12-05 22:30:22,2019-06-14 15:11:27,15385592,1569330384,15385592,102,431,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/009086/SRR9304163,SRX6072827,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975157,SAMN12059809,simple,10090,Mus musculus,GSM3891514,,,,,,,no,,,,,GEO,SRA899561,,public,B0971CC64846130B5FB02C403B386F22,4BAB6448F97094E0E018D21432AC9E84
SRR9304164,2019-12-05 22:30:22,2019-06-14 15:10:30,9056671,923780442,9056671,102,249,,https://sra-download.ncbi.nlm.nih.gov/traces/sra44/SRR/009086/SRR9304164,SRX6072828,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975158,SAMN12059808,simple,10090,Mus musculus,GSM3891515,,,,,,,no,,,,,GEO,SRA899561,,public,F270A1E0DB5C87B8CD85DD9EA3538A4A,F467C6A9AFF17B9D6B257F126B89B545
SRR9304165,2019-12-05 22:30:22,2019-06-14 15:09:34,7424172,757265544,7424172,102,205,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/009086/SRR9304165,SRX6072828,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975158,SAMN12059808,simple,10090,Mus musculus,GSM3891515,,,,,,,no,,,,,GEO,SRA899561,,public,A570FA724E8C634413734485FE6C333C,85600B6B4AC5B5281F89F346637B5CDC
SRR9304166,2019-12-05 22:30:22,2019-06-14 15:12:26,19856442,2025357084,19856442,102,545,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/009086/SRR9304166,SRX6072829,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975159,SAMN12059807,simple,10090,Mus musculus,GSM3891516,,,,,,,no,,,,,GEO,SRA899561,,public,E119D5F2A0272F37E4F3403FF0A571E2,324EBA87019C3FAAEB80C2FEA4389A24
SRR9304167,2019-12-05 22:30:22,2019-06-14 15:15:39,20252656,2065770912,20252656,102,556,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/009086/SRR9304167,SRX6072829,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975159,SAMN12059807,simple,10090,Mus musculus,GSM3891516,,,,,,,no,,,,,GEO,SRA899561,,public,F490348A91CCD6E89BA6594643C67FFB,DB403F192FDCC946543684A25FEBE03E
SRR9304168,2019-12-05 22:30:22,2019-06-14 15:12:21,15953426,1627249452,15953426,102,447,,https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/009086/SRR9304168,SRX6072830,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975160,SAMN12059806,simple,10090,Mus musculus,GSM3891517,,,,,,,no,,,,,GEO,SRA899561,,public,F412C97F8CA691E8B00558EA5FA9C67F,DCCE67B86325CF7DED96391400842DAF
SRR9304169,2019-12-05 22:30:22,2019-06-14 15:12:42,14973763,1527323826,14973763,102,420,,https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/009086/SRR9304169,SRX6072830,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975160,SAMN12059806,simple,10090,Mus musculus,GSM3891517,,,,,,,no,,,,,GEO,SRA899561,,public,FD19F9DAFD560C276FB9167626D02E6A,382631087267F3FBEAAFAEEE7947838B
SRR9304170,2019-12-05 22:30:22,2019-06-14 15:14:41,20512155,2092239810,20512155,102,574,,https://sra-download.ncbi.nlm.nih.gov/traces/sra24/SRR/009086/SRR9304170,SRX6072831,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975161,SAMN12059805,simple,10090,Mus musculus,GSM3891518,,,,,,,no,,,,,GEO,SRA899561,,public,56DF8A22193F2F672059086A9C0635E9,1733DBD243F876AC240787B76BF2963A
SRR9304171,2019-12-05 22:30:22,2019-06-14 15:15:25,21035069,2145577038,21035069,102,589,,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/009086/SRR9304171,SRX6072831,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975161,SAMN12059805,simple,10090,Mus musculus,GSM3891518,,,,,,,no,,,,,GEO,SRA899561,,public,311E418AC9C783C357AFC2E8C156EDCB,7422672E2048F2613239D394CFBE8206
SRR9304172,2019-12-05 22:30:22,2019-06-14 15:12:49,14527432,1481798064,14527432,102,404,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/009086/SRR9304172,SRX6072832,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975162,SAMN12059804,simple,10090,Mus musculus,GSM3891519,,,,,,,no,,,,,GEO,SRA899561,,public,AE83963125554E283C59F9E6A8A208D2,43C97AEC1E7193FC36D2F80258354078
SRR9304173,2019-12-05 22:30:22,2019-06-14 15:11:33,13556528,1382765856,13556528,102,378,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/009086/SRR9304173,SRX6072832,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975162,SAMN12059804,simple,10090,Mus musculus,GSM3891519,,,,,,,no,,,,,GEO,SRA899561,,public,6F21DFAAD429F780B446ABCD0D10E1E3,9D4F518A047AB2B23D5F9356E93A0922
SRR9304174,2019-12-05 22:30:22,2019-06-14 15:13:07,15866742,1618407684,15866742,102,442,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9304174/SRR9304174.1,SRX6072833,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975163,SAMN12059803,simple,10090,Mus musculus,GSM3891520,,,,,,,no,,,,,GEO,SRA899561,,public,A61C1B07B694C684DA539D36E66F7A67,632D8E889CBA80B30B8DDD96E414F656
SRR9304175,2019-12-05 22:30:22,2019-06-14 15:13:07,15200117,1550411934,15200117,102,423,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9304175/SRR9304175.1,SRX6072833,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975163,SAMN12059803,simple,10090,Mus musculus,GSM3891520,,,,,,,no,,,,,GEO,SRA899561,,public,8BB565665F0C1D8A935D0EEC447EF002,15F0176C6D716E814A2B252C1B939822
SRR9304176,2019-12-05 22:30:22,2019-06-14 15:12:25,12742241,1299708582,12742241,102,357,,https://sra-download.ncbi.nlm.nih.gov/traces/sra9/SRR/009086/SRR9304176,SRX6072834,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975164,SAMN12059802,simple,10090,Mus musculus,GSM3891521,,,,,,,no,,,,,GEO,SRA899561,,public,DDEEAC44F7CA50320AA4B61A3CF5AE9C,677C7FEE9009E5BC022E31D8EE897B9D
SRR9304177,2019-12-05 22:30:22,2019-06-14 15:12:33,11908310,1214647620,11908310,102,334,,https://sra-download.ncbi.nlm.nih.gov/traces/sra34/SRR/009086/SRR9304177,SRX6072834,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975164,SAMN12059802,simple,10090,Mus musculus,GSM3891521,,,,,,,no,,,,,GEO,SRA899561,,public,D449F293DD8C6C4CC482576EFD7F23C0,54EF9F2AFDBA8F325204FABBDD40681C
SRR9304178,2019-12-05 22:30:22,2019-06-14 15:14:35,20161574,2056480548,20161574,102,566,,https://sra-download.ncbi.nlm.nih.gov/traces/sra29/SRR/009086/SRR9304178,SRX6072835,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975165,SAMN12059801,simple,10090,Mus musculus,GSM3891522,,,,,,,no,,,,,GEO,SRA899561,,public,F0B03CA564104385E8478FF89377D493,51C53972E9510CAED750C5C798BED157
SRR9304179,2019-12-05 22:30:22,2019-06-14 15:14:25,19464884,1985418168,19464884,102,547,,https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/009086/SRR9304179,SRX6072835,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975165,SAMN12059801,simple,10090,Mus musculus,GSM3891522,,,,,,,no,,,,,GEO,SRA899561,,public,2F0375BE00A532E2F23D36F5DC051BFF,0F319BAF9C174D7CCE33BEB5AF7889AA
SRR9304180,2019-12-05 22:30:22,2019-06-14 15:18:21,17183399,1752706698,17183399,102,479,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9304180/SRR9304180.1,SRX6072836,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975166,SAMN12059800,simple,10090,Mus musculus,GSM3891523,,,,,,,no,,,,,GEO,SRA899561,,public,F35C227D67085B2BF6F989B1B55A9380,5E0A8EA2975E22F6DDD880525218F7DC
SRR9304181,2019-12-05 22:30:22,2019-06-14 15:16:52,17384708,1773240216,17384708,102,485,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/009086/SRR9304181,SRX6072836,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975166,SAMN12059800,simple,10090,Mus musculus,GSM3891523,,,,,,,no,,,,,GEO,SRA899561,,public,E18C7A61EAE4B2AA6E37820928521E8C,B44F6C29594FE90FCD38E5E3DC66FB70
SRR9304182,2019-12-05 22:30:22,2019-06-14 15:15:29,21210896,2163511392,21210896,102,583,,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/009086/SRR9304182,SRX6072837,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975167,SAMN12059799,simple,10090,Mus musculus,GSM3891524,,,,,,,no,,,,,GEO,SRA899561,,public,A76B30E800B89AD3A80184B71FF28D3B,B441666AAF4A7BB4C786F126A153317B
SRR9304183,2019-12-05 22:30:22,2019-06-14 15:16:48,21577150,2200869300,21577150,102,594,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/009086/SRR9304183,SRX6072837,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975167,SAMN12059799,simple,10090,Mus musculus,GSM3891524,,,,,,,no,,,,,GEO,SRA899561,,public,3F949497DF4CF0BF69EDB4D3AC6FADCB,218BEE3E893D93449B5552C07AC7CC47
SRR9304184,2019-12-05 22:30:22,2019-06-14 15:13:27,19435031,1982373162,19435031,102,536,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9304184/SRR9304184.1,SRX6072838,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975168,SAMN12059798,simple,10090,Mus musculus,GSM3891525,,,,,,,no,,,,,GEO,SRA899561,,public,B47B01753F5967E78A3ED918AD58EE1D,A97381BB5782E54D1AEBC68B41A39C7A
SRR9304185,2019-12-05 22:30:22,2019-06-14 15:15:42,18901643,1927967586,18901643,102,522,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/009086/SRR9304185,SRX6072838,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975168,SAMN12059798,simple,10090,Mus musculus,GSM3891525,,,,,,,no,,,,,GEO,SRA899561,,public,9127A048BFAD2AE0B1935E532DC91696,9F7A0835E93E43E9A1DFCFEFD33E68CD
SRR9304186,2019-12-05 22:30:22,2019-06-14 15:09:30,7231002,737562204,7231002,102,200,,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/009086/SRR9304186,SRX6072839,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975169,SAMN12059797,simple,10090,Mus musculus,GSM3891526,,,,,,,no,,,,,GEO,SRA899561,,public,FCE0C414AA7BC06460DD9468AA5A7A83,FC0111031CA80D765E8C40CA99688592
SRR9304187,2019-12-05 22:30:22,2019-06-14 15:08:57,5680785,579440070,5680785,102,158,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9304187/SRR9304187.1,SRX6072839,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975169,SAMN12059797,simple,10090,Mus musculus,GSM3891526,,,,,,,no,,,,,GEO,SRA899561,,public,0E4CCE147E94B577675C328018044C3F,C71CC1C4E1DE5A90BDA8BA3165882ED4
SRR9304188,2019-12-05 22:30:22,2019-06-14 15:11:30,12448523,1269749346,12448523,102,347,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/009086/SRR9304188,SRX6072840,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975170,SAMN12059796,simple,10090,Mus musculus,GSM3891527,,,,,,,no,,,,,GEO,SRA899561,,public,3CA17B6FB3C9EC75B4CBB43829E1878F,AAB36A39DA9B3C2710DE34DF1677E3AD
SRR9304189,2019-12-05 22:30:22,2019-06-14 15:12:55,12166937,1241027574,12166937,102,340,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9304189/SRR9304189.1,SRX6072840,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975170,SAMN12059796,simple,10090,Mus musculus,GSM3891527,,,,,,,no,,,,,GEO,SRA899561,,public,66442B68E2C6B790FFD3EBE4E1D53FEF,4D327D4467D278103738DB7B332674A4
SRR9304190,2019-12-05 22:30:22,2019-06-14 15:10:07,6760915,689613330,6760915,102,191,,https://sra-download.ncbi.nlm.nih.gov/traces/sra34/SRR/009086/SRR9304190,SRX6072841,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975171,SAMN12059822,simple,10090,Mus musculus,GSM3891528,,,,,,,no,,,,,GEO,SRA899561,,public,E335C333D7FFB9C9E17DA841665F9D97,2B7981A06505393222A6B09BC6EF7126
SRR9304191,2019-12-05 22:30:22,2019-06-14 15:09:41,5403421,551148942,5403421,102,153,,https://sra-download.ncbi.nlm.nih.gov/traces/sra33/SRR/009086/SRR9304191,SRX6072841,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975171,SAMN12059822,simple,10090,Mus musculus,GSM3891528,,,,,,,no,,,,,GEO,SRA899561,,public,3C6D7C7AEABEAADAE0BA40085A83E26E,97751398A001CBD1A179FBDCE2F6DB01
